55	Gabe Gutierrez	LB	6-2	225	So.	Sioux Falls, S.D.	Lincoln HS	
56	Tayden Nave	LB	6-1	195	Fr.	Sioux Falls, S.D.	Roosevelt HS	
56	Joel Thomas	OL	6-4	295	Fr.	Columbus, Neb.	Columbus HS	
57	Logan Grossinger	DL	6-0	265	R-Sr.	Buffalo, Minn.	Buffalo HS	
58	Conner Wallman	DL	6-4	290	Fr.	Janesville, Wis.	Delavan-Darien HS	
59	Kadyn Turnbow	DE	6-4	235	So.	Berthold, N.D.	Minot HS	
60	Isaac Johnson	DL	6-0	300	So.	Brandon, S.D.	Brandon Valley HS	
61	Carlos McArthur	DL/LS	6-1	265	Fr.	Regina, Saskatchewan	Miller Comprehensive HS	
62	Anthony Harris?Jr.	OL	6-2	280	Gr.	Minneapolis, Minn.	DeLaSalle HS	
63	Jackson Maynard	OL	6-4	270	Fr.	Tulare, S.D.	Hitchcock-Tulare HS	
64	Jeffrey Kunzman	OL	6-2	280	Fr.	Bellevue, Neb.	Bellevue West HS	
65	Paden Johnson	OL	6-8	300	Jr.	Watertown, S.D.	Watertown HS	
66	Tanner Reddan	OL	6-7	285	Sr.	Castle Rock, Colo.	Valor Christian HS	
67	Hudson Hodous	OL	6-2	285	Fr.	Devils Lake, N.D.	Devils Lake HS	
68	Brady Wilker	OL	6-4	280	Fr.	Green Bay, Wis.	Ashwaubenon HS	
69	Ross Rowland	OL	6-2	290	So.	De Pere, Wis.	De Pere HS	
70	Dan Peterson	DL	5-11	225	Fr.	Timber Lake, S.D.	Timber Lake HS	
71	Jack Tews	OL	6-4	300	Fr.	Brandon, S.D.	Brandon Valley HS	
72	Cooper Walder	OL	6-8	355	So.	Sauk Rapids, Minn.	Sauk Rapids Rice	
73	Daniel Porisch	OL	6-2	275	Jr.	Edina, Minn.	Benilde-St. Margaret's	
74	Matt Ouellette	OL	6-3	305	So.	Reno, Nev.	Reno HS	American River College
75	James Hushbeck	OL	6-5	275	Fr.	Cheyenne, Wyo.	Cheyenne South HS	
76	Noah Draeger	OL	6-5	280	Fr.	Hortonville, Wis.	Hortonville HS	
77	Colt Smith	OL	6-2	290	Sr.	Gretna, Neb.	Gretna HS	
78	Cody Smidt	DL	6-0	275	Jr.	Buffalo Center, Iowa	North Iowa	Iowa Central CC
79	Jacob Schloe	OL	6-7	320	Gr.	Sauk Rapids, Minn.	Sauk Rapids Rice	
80	Owen Zahm	TE	6-4	225	Fr.	Austin, Texas	Viroqua HS (Wis.)	
81	Kadyn Weber	WR	6-4	170	Fr.	Alexandria, Minn.	Alexandria Area HS	
82	Louie Schwabe	WR	6-5	195	So.	Wind Lake, Wis.	Muskego HS	
83	Cooper Eisenbeisz	WR	6-2	180	Fr.	Aberdeen, S.D.	Central HS	
84	Carson Barnett	WR	6-3	190	So.	Harrisburg, S.D.	Harrisburg HS	
85	Jack Oedekoven	WR	6-4	200	Sr.	Erie, Pa.	Cathedral Prep	Robert Morris
86	Zach Kraft	TE	6-4	230	Sr.	LeMars, Iowa	Gehlen Catholic HS	Iowa State
87	Gavin Giesler	TE	6-2	205	Jr.	Mantorville, Minn.	Kasson-Mantorville HS	
88	DJ Smith	WR	6-3	200	Fr.	Moorhead, Minn.	Moorhead HS	
89	Brodey Sauerwein	TE	6-5	215	Fr.	Warner, S.D.	Warner HS	
90	Noah Hutmacher	DL	6-3	225	So.	Oacoma, S.D.	Chamberlain HS	
91	Gabriel Lindeman	DE	6-3	340	So.	Dell Rapids, S.D.	Dell Rapids St. Mary	
92	Noah Moringlane	DL	6-4	220	Fr.	Rockwall, Texas	Rockwall HS	
93	Trevon Austell	DE	6-3	220	So.	St. Louis, Mo.	Mitchell HS	
94	Justin Hernandez	DL	6-3	230	Sr.	Whittier, Calif.	La Serna HS	
94	Parker Messmer	K/P	6-6	215	Fr.	Rapid City, S.D.	Stevens HS	
95	Ben Flak	DL	6-5	235	Jr.	Wittenberg, Wis.	Wittenberg-Birnamwood	
96	Aidan Roh	DL	6-0	245	Fr.	Hortonville, Wis.	Hortonville HS	
97	Carl Pevey?Jr.	DL	6-0	240	Fr.	Milwaukee, Wis.	Catholic Memorial HS	
98	Brock Longville	DL	6-4	260	Jr.	Brookings, S.D.	Brookings HS	
99	Kai Rigdon	DL	6-2	280	Fr.	Ferris, Texas	Ferris HS	
00  Emmit Andersen	DL	6-1	250	Fr.	Pierre, S.D.	T.F. Riggs HS	
00  Carter Fedde	DL	6-0	240	Fr.	Columbus, Neb.	Columbus HS	
00  Hudson Hackel	FB	6-1	220	Fr.	Perham, Minn.	Perham HS	
00  Wade James	K	6-1	195	Jr.	Bismarck, N.D.	Century HS	Dickinson State
00  Nick Kennewell	WR	6-3	190	Sr.	Portland, Ore.	Calckamas HS	Golden West Co.
00  Thomas Risty	DL	6-1	235	Fr.	Brandon, S.D.	Brandon Valley HS	
00  Prentice Wheatley	DB	6-1	185	Jr.	Minneapolis, Minn.	Minnetonka HS	
